"","OBJECTID","POSTCODE","ConfirmedCaseCategory","ConfirmedCaseCount","Shape__Area","Shape__Length"
"1",1,"85347","0","0",10238163217.7383,885301.126337057
"2",2,"85356","1-5","1-5",7068048401.63281,777394.725710154
"3",3,"85365","Greater Than 40","47",1753707460.05859,541498.435410273
"4",4,"85350","Greater Than 40","106",313522238.503906,124993.360021697
"5",5,"85367","11-25","15",202325575.101563,75129.9824483659
"6",6,"85364","Greater Than 40","118",111177328.1875,53272.3195402275
"7",7,"85349","Greater Than 40","112",100984875.199219,92499.2829153073
"8",8,"85352","0","0",551344.76171875,3959.30510128023
"9",9,"85336","0","0",78792.95703125,1146.30582032576
"10",10,"85344","Data Suppressed","Data Suppressed",8043468820.19531,733166.262659271
"11",11,"85348","6-10","6-10",6718934240.53125,533999.346297445
"12",12,"85328","0","0",370948326.289063,150757.512526387
"13",13,"85346","1-5","1-5",300480200.585938,103785.596384806
"14",14,"85334","0","0",909273.359375,3862.02404594672
"15",15,"85325","0","0",595191.28515625,4287.77922456262
"16",16,"86406","11-25","25",7407590811.80469,636946.619530893
"17",17,"86401","Greater Than 40","59",6646573848.21875,821232.658597268
"18",18,"86413","1-5","1-5",3628882683.81641,471976.044193835
"19",19,"86404","11-25","12",1554868001.76563,290704.184583616
"20",20,"86438","0","0",1087424460.06641,193827.119979529
"21",21,"86441","1-5","1-5",915408022.929688,172840.718867937
"22",22,"86436","0","0",770791003.578125,152674.385902977
"23",23,"86440","6-10","6-10",575584202.804688,196829.421639693
"24",24,"86409","Greater Than 40","56",564758728.464844,144289.423593091
"25",25,"86411","0","0",363502021.222656,125394.205131166
"26",26,"86426","1-5","1-5",191348933.636719,71094.0851484406
"27",27,"86442","11-25","18",173521917.714844,81232.2571258027
"28",28,"86429","1-5","1-5",85882641.7382813,45961.2879342623
"29",29,"85360","0","0",68309472.796875,46017.2195234333
"30",30,"86433","0","0",45893069.3828125,38537.7308430788
"31",31,"86403","11-25","12",37900326.4726563,52182.1315015238
"32",32,"86444","0","0",2210828355.57422,354034.261848573
"33",33,"86445","0","0",2202529210.45703,382715.877219413
"34",34,"86443","0","0",869450928.1875,390748.241730998
"35",35,"86432","6-10","6-10",11983202344.4805,643320.638773717
"36",36,"85607","11-25","17",3141271054.98828,329204.981394957
"37",37,"85610","0","0",1460163798.57031,258109.409064602
"38",38,"85621","Greater Than 40","41",1264746314.53906,239525.940030447
"39",39,"85624","1-5","1-5",1173988252.96484,256460.464187812
"40",40,"85639","Data Suppressed","Data Suppressed",1176792551.41406,189522.57234375
"41",41,"85645","1-5","1-5",856908909.492188,249342.585057876
"42",42,"85638","0","0",847719671.15625,177988.997619649
"43",43,"85611","1-5","1-5",833624960.273438,237110.513622412
"44",44,"85603","0","0",808034347.875,156341.118952622
"45",45,"85615","1-5","1-5",732812813.359375,189888.415404704
"46",46,"85637","0","0",696929293.375,184989.113066761
"47",47,"85616","1-5","1-5",689917148.925781,174071.428627574
"48",48,"85648","26-40","32",649077298.839844,163413.632140527
"49",49,"85617","0","0",635580581.207031,134474.883433441
"50",50,"85601","0","0",593021226.140625,212748.900211478
"51",51,"85635","11-25","12",441472161.632813,147574.731328723
"52",52,"85650","6-10","6-10",186477423.226563,83809.1081201882
"53",53,"85613","0","0",125469086.054688,57406.3277400263
"54",54,"85646","1-5","1-5",124116588.679688,74512.5345404309
"55",55,"85633","0","0",23930586.484375,33500.8788512144
"56",56,"85620","0","0",2320859.6875,10111.7968273281
"57",57,"85640","0","0",1975079.4765625,8746.13538372509
"58",58,"85634","Data Suppressed","Data Suppressed",11200215571.0039,566567.902563637
"59",59,"85337","1-5","1-5",7978861639.9375,609135.665782294
"60",60,"85132","Greater Than 40","164",3676059294.21875,436021.210493899
"61",61,"85341","0","0",3146638588.90625,300701.747423254
"62",62,"85333","0","0",2945369435.17578,441946.810311499
"63",63,"85193","6-10","6-10",2662888136.03906,331459.169347378
"64",64,"85321","0","0",2589507893.96094,234681.445061753
"65",65,"85736","6-10","6-10",2557925071.44141,387023.233702876
"66",66,"85653","11-25","17",2325002178.08984,278588.280724043
"67",67,"85139","11-25","15",1568737345.88672,306196.723761203
"68",68,"85131","Greater Than 40","83",1167337102.78906,255373.359007219
"69",69,"85735","11-25","15",947838514.1875,223607.013375715
"70",70,"85658","11-25","14",618765568.183594,153087.412971307
"71",71,"85138","Greater Than 40","52",567023550.910156,197246.745099414
"72",72,"85128","11-25","23",528056664.113281,178429.059639637
"73",73,"85743","26-40","35",360414534.265625,126872.581537693
"74",74,"85145","1-5","1-5",305581722.386719,100672.410318755
"75",75,"85194","6-10","6-10",297148127.660156,102469.710418433
"76",76,"85172","1-5","1-5",207445765.765625,98511.7980838153
