"","fid","area","perimeter","area_sq_mi","mun","county","propermun","pop00","zipcode","mun_1","propermu_1","town","pop2010","ho2016","rehs","bbp","aco","eap","septic","flu","lead","hud","positivecases","deaths","localho","phoneno","afterhrsno","lhdwebsite"
"1",25,63773360,50098.207,2.288,"WESTWOOD BORO","BERGEN","Westwood",10999,"07675","WESTWOOD BORO","Westwood","Borough of Westwood",10.908,"Musella",0,0,1,0,0,0,0,0,195,NA,NA,"201-445-7217","201-445-7217","http://www.nwbrhc.org/"
"2",8,100280000,63539.828,3.598,"WOODCLIFF LAKE BORO","BERGEN","Woodcliff Lake",5745,"07677","WOODCLIFF LAKE BORO","Woodcliff Lake","Borough of Woodcliff Lake",5.73,"Asmar",1,1,1,1,0,0,1,0,119,1,NA,"201-634-2600","201-785-8500","www.bergenhealth.org"
"3",10,119840000,92203.148,4.299,"RIVER VALE TWP","BERGEN","River Vale",9449,"07675","RIVER VALE TWP","River Vale","Township of River Vale",9.659,"Musella",0,1,1,0,0,1,0,0,109,NA,NA,"201-445-7217","201-445-7217","http://www.nwbrhc.org/"
"4",40,77182976,39374.465,2.769,"ELMWOOD PARK BORO","BERGEN","Elmwood Park",18925,"07407","ELMWOOD PARK BORO","Elmwood Park","Borough of Elmwood Park",19.403,"Asmar",1,0,1,0,0,1,1,1,511,1,NA,"201-634-2600","201-785-8500","www.bergenhealth.org"
"5",14,35103440,28133.039,1.259,"NORTHVALE BORO","BERGEN","Northvale",4460,"07647","NORTHVALE BORO","Northvale","Borough of Northvale",4.64,"Asmar",1,1,0,0,0,0,1,0,59,1,NA,"201-634-2600","201-785-8500","www.bergenhealth.org"
"6",36,64707156,46197.52,2.321,"NEW MILFORD BORO","BERGEN","New Milford",16400,"07646","NEW MILFORD BORO","New Milford","Borough of New Milford",16.341,"Yanovich",0,1,0,1,0,0,1,0,429,8,NA,"201-599-6290","201-785-8505","http://www.midbergen-regionalhealth.org/"
"7",11,274610000,72925.945,9.852,"FRANKLIN LAKES BORO","BERGEN","Franklin Lakes",10422,"07417","FRANKLIN LAKES BORO","Franklin Lakes","Borough of Franklin Lakes",10.59,"Asmar",1,1,0,1,1,0,1,0,145,1,NA,"201-634-2600","201-785-8500","www.bergenhealth.org"
"8",52,41649512,31944.422,1.494,"HASBROUCK HEIGHTS BORO","BERGEN","Hasbrouck Heights",11662,"07604","HASBROUCK HEIGHTS BORO","Hasbrouck Heights","Borough of Hasbrouck Heights",11.842,"Yanovich",0,0,1,0,0,0,1,1,198,NA,NA,"201-599-6290","201-785-8505","http://www.midbergen-regionalhealth.org/"
"9",24,83281128,40860.574,2.988,"WASHINGTON TWP","BERGEN","Washington Twp",8938,"07676","WASHINGTON TWP","Washington Twp","Township of Washington",9.102,"Musella",0,0,0,0,0,0,0,0,98,1,NA,"201-445-7217","201-445-7217","http://www.nwbrhc.org/"
"10",32,57104220,35995.75,2.049,"DEMAREST BORO","BERGEN","Demarest",4845,"07627","DEMAREST BORO","Demarest","Borough of Demarest",4.881,"Asmar",1,1,1,0,0,1,1,0,46,NA,NA,"201-634-2600","201-785-8500","www.bergenhealth.org"
"11",20,43856928,30288.76,1.573,"MIDLAND PARK BORO","BERGEN","Midland Park",6947,"07432","MIDLAND PARK BORO","Midland Park","Borough of Midland Park",7.128,"Musella",0,1,0,0,0,0,0,0,84,NA,NA,"201-445-7217","201-445-7217","http://www.nwbrhc.org/"
"12",26,67246408,60313.238,2.413,"EMERSON BORO","BERGEN","Emerson",7197,"07630","EMERSON BORO","Emerson","Borough of Emerson",7.401,"Musella",0,1,0,0,0,0,0,0,205,NA,NA,"201-445-7217","201-445-7217","http://www.nwbrhc.org/"
"13",16,80587400,49289.129,2.891,"HILLSDALE BORO","BERGEN","Hillsdale",10087,"07642","HILLSDALE BORO","Hillsdale","Borough of Hillsdale (no)",10.219,"Musella",0,0,0,0,0,0,0,0,115,NA,NA,"201-445-7217","201-445-7217","http://www.nwbrhc.org/"
