"","Town_No","Town","LastUpdateDate","ConfirmedCases","Deaths","CaseRate","PeopleTested"
"1",1,"Andover","2020-05-16",9,0,279,51
"2",2,"Ansonia","2020-05-16",235,5,1255,852
"3",3,"Ashford","2020-05-16",13,0,305,76
"4",4,"Avon","2020-05-16",81,14,443,363
"5",5,"Barkhamsted","2020-05-16",24,0,662,81
"6",6,"Beacon Falls","2020-05-16",45,0,728,191
"7",7,"Berlin","2020-05-16",134,16,656,527
"8",8,"Bethany","2020-05-16",30,0,548,189
"9",9,"Bethel","2020-05-16",220,21,1116,946
"10",10,"Bethlehem","2020-05-16",9,1,263,79
"11",11,"Bloomfield","2020-05-16",410,69,1925,877
"12",12,"Bolton","2020-05-16",18,3,368,79
"13",13,"Bozrah","2020-05-16",8,0,315,69
"14",14,"Branford","2020-05-16",303,38,1082,1313
"15",15,"Bridgeport","2020-05-16",2831,134,1954,7507
"16",16,"Bridgewater","2020-05-16",6,0,366,53
"17",17,"Bristol","2020-05-16",495,62,825,1984
"18",18,"Brookfield","2020-05-16",144,7,847,762
"19",19,"Brooklyn","2020-05-16",17,0,205,187
"20",20,"Burlington","2020-05-16",21,1,217,186
"21",21,"Canaan","2020-05-16",0,0,0,14
"22",22,"Canterbury","2020-05-16",11,0,216,112
"23",23,"Canton","2020-05-16",77,23,750,214
"24",24,"Chaplin","2020-05-16",3,0,133,50
"25",25,"Cheshire","2020-05-16",164,21,562,802
"26",26,"Chester","2020-05-16",42,12,993,122
"27",27,"Clinton","2020-05-16",44,2,340,352
"28",28,"Colchester","2020-05-16",32,1,201,449
"29",29,"Colebrook","2020-05-16",2,0,142,18
"30",30,"Columbia","2020-05-16",16,0,297,93
"31",31,"Cornwall","2020-05-16",3,0,219,48
"32",32,"Coventry","2020-05-16",34,1,274,213
"33",33,"Cromwell","2020-05-16",96,18,690,376
"34",34,"Danbury","2020-05-16",1585,104,1871,4476
"35",35,"Darien","2020-05-16",198,6,910,825
"36",36,"Deep River","2020-05-16",7,0,157,101
"37",37,"Derby","2020-05-16",134,2,1071,600
"38",38,"Durham","2020-05-16",28,2,389,195
"39",40,"East Granby","2020-05-16",7,0,136,65
"40",41,"East Haddam","2020-05-16",10,0,111,146
"41",42,"East Hampton","2020-05-16",40,4,311,262
"42",43,"East Hartford","2020-05-16",669,79,1338,1689
"43",44,"East Haven","2020-05-16",361,33,1258,1461
"44",45,"East Lyme","2020-05-16",123,18,660,734
"45",47,"East Windsor","2020-05-16",137,18,1204,374
"46",39,"Eastford","2020-05-16",8,0,447,34
"47",46,"Easton","2020-05-16",30,2,399,218
"48",48,"Ellington","2020-05-16",49,4,301,266
"49",49,"Enfield","2020-05-16",394,24,886,1148
"50",50,"Essex","2020-05-16",20,1,300,152
"51",51,"Fairfield","2020-05-16",527,96,851,1841
"52",52,"Farmington","2020-05-16",183,31,717,620
"53",53,"Franklin","2020-05-16",3,0,155,44
"54",54,"Glastonbury","2020-05-16",242,66,702,854
"55",55,"Goshen","2020-05-16",8,0,278,78
"56",56,"Granby","2020-05-16",20,1,176,180
"57",57,"Greenwich","2020-05-16",751,45,1197,2436
"58",58,"Griswold","2020-05-16",20,2,173,309
"59",59,"Groton","2020-05-16",101,17,261,1366
"60",60,"Guilford","2020-05-16",90,9,405,598
"61",61,"Haddam","2020-05-16",26,1,316,171
"62",62,"Hamden","2020-05-16",859,86,1410,2955
"63",63,"Hampton","2020-05-16",1,0,54,42
"64",64,"Hartford","2020-05-16",1885,131,1538,4267
"65",65,"Hartland","2020-05-16",5,0,236,24
"66",66,"Harwinton","2020-05-16",28,2,516,135
"67",67,"Hebron","2020-05-16",19,2,200,159
"68",68,"Kent","2020-05-16",7,0,251,79
"69",69,"Killingly","2020-05-16",24,0,139,476
"70",70,"Killingworth","2020-05-16",12,3,188,159
"71",71,"Lebanon","2020-05-16",20,1,278,145
"72",72,"Ledyard","2020-05-16",18,1,122,630
"73",73,"Lisbon","2020-05-16",5,0,118,98
"74",74,"Litchfield","2020-05-16",35,3,431,233
"75",75,"Lyme","2020-05-16",3,0,128,44
"76",76,"Madison","2020-05-16",122,18,674,555
"77",77,"Manchester","2020-05-16",537,60,931,1705
"78",78,"Mansfield","2020-05-16",25,2,97,192
"79",79,"Marlborough","2020-05-16",49,2,771,169
"80",80,"Meriden","2020-05-16",650,55,1092,2380
"81",81,"Middlebury","2020-05-16",37,3,479,209
"82",82,"Middlefield","2020-05-16",15,0,342,102
"83",83,"Middletown","2020-05-16",464,67,1006,1673
"84",84,"Milford","2020-05-16",565,67,1034,2225
"85",85,"Monroe","2020-05-16",100,6,514,534
"86",86,"Montville","2020-05-16",104,0,556,644
"87",87,"Morris","2020-05-16",15,0,663,51
"88",88,"Naugatuck","2020-05-16",323,19,1032,1148
"89",89,"New Britain","2020-05-16",766,68,1057,2399
"90",90,"New Canaan","2020-05-16",163,29,806,803
"91",91,"New Fairfield","2020-05-16",106,2,764,524
"92",92,"New Hartford","2020-05-16",22,2,329,113
"93",93,"New Haven","2020-05-16",2182,87,1673,7618
"94",95,"New London","2020-05-16",132,3,490,971
"95",96,"New Milford","2020-05-16",243,17,901,1204
"96",94,"Newington","2020-05-16",318,40,1056,1066
"97",97,"Newtown","2020-05-16",163,21,587,1057
"98",98,"Norfolk","2020-05-16",8,0,488,25
"99",99,"North Branford","2020-05-16",75,3,530,454
"100",100,"North Canaan","2020-05-16",4,1,123,55
"101",101,"North Haven","2020-05-16",213,19,899,992
"102",102,"North Stonington","2020-05-16",10,0,191,155
"103",103,"Norwalk","2020-05-16",1886,114,2118,5100
"104",104,"Norwich","2020-05-16",78,3,199,979
"105",105,"Old Lyme","2020-05-16",16,1,217,214
"106",106,"Old Saybrook","2020-05-16",29,0,287,259
"107",107,"Orange","2020-05-16",110,6,789,523
"108",108,"Oxford","2020-05-16",76,6,575,380
"109",109,"Plainfield","2020-05-16",29,1,191,414
"110",110,"Plainville","2020-05-16",127,17,721,571
