"","OBJECTID_1","ZIP_NO","ZIP_NAME","CollinInternalCaseNum","Zip","ObjectID","Shape__Area","Shape__Length"
"1",1,"75024","PLANO",36,75024,8,322934130.672852,78798.7044258811
"2",2,"75023","PLANO",41,75023,29,252434131.533203,68954.4337841014
"3",3,"75075","PLANO",51,75075,2,258719376.078125,67427.1000093843
"4",4,"75252","DALLAS",28,75252,32,126560541.111328,54523.2519825967
"5",5,"75287","DALLAS",61,75287,9,89440397.0810547,40115.2094973779
"6",6,"75093","PLANO",58,75093,15,370410233.977539,87101.9103396979
"7",7,"75034","FRISCO",31,75034,28,243852168.588867,68610.1550021623
"8",8,"75033","FRISCO",6,75033,7,281485894.496094,72029.3466775071
"9",9,"75074","PLANO",79,75074,14,449325120.492188,103419.941817429
"10",10,"75069","MCKINNEY",71,75069,1,915104919.859375,166756.821838832
"11",11,"75080","RICHARDSON",5,75080,26,93101613.0410156,47455.4955064654
"12",12,"75082","RICHARDSON",15,75082,11,196095819.960938,79830.5472424011
"13",13,"75094","MURPHY",15,75094,31,198932333.40625,72944.2634317339
"14",14,"75166","LAVON",8,75166,13,388238135.087891,107773.517485372
"15",15,"75025","PLANO",51,75025,25,271169020.816406,92055.6262298332
"16",16,"75013","ALLEN",34,75013,23,419299720.099609,99308.3199331219
"17",17,"75173","NEVADA",3,75173,5,1062172761.04883,213688.913049447
"18",18,"75048","GARLAND",8,75048,10,68705051.3398438,53297.8604982775
"19",19,"75035","FRISCO",52,75035,18,703885894.457031,129758.691798847
"20",20,"75072","MCKINNEY",50,75072,3,344876723.058594,107935.014517638
"21",21,"75407","PRINCETON",29,75407,17,1813853324.46875,231691.833970902
"22",22,"75078","PROSPER",15,75078,30,606558981.560547,122284.951276064
"23",23,"75424","BLUE RIDGE",3,75424,22,1549940974.98047,264924.216730546
"24",24,"75009","CELINA",18,75009,4,2549818015.09766,292932.260845659
"25",25,"75002","ALLEN",58,75002,12,1118068397.25781,182698.668908019
"26",26,"75098","WYLIE",55,75098,27,970649776.193359,147805.299011458
"27",27,"75409","ANNA",25,75409,24,2155038899.22461,335864.628245621
"28",28,"75454","MELISSA",14,75454,21,593282317.236328,148213.656318489
"29",29,"75071","MCKINNEY",45,75071,6,2197684031.99609,342718.897249333
"30",30,"75442","FARMERSVILLE",19,75442,16,2721685728.82617,284291.30064426
"31",31,"75070","MCKINNEY",63,75070,19,317426333.371094,103185.390691491
