"","FieldMatch","ZIP_CODE","c_places","Cases_1","LabelY","ObjectID","GlobalID","CreationDate","Creator","EditDate","Editor"
"1","Alachua-32044","32044",NA,"0",0,1,"f761b7b3-1aa1-4f52-a54b-e0c564879359",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"2","Alachua-32601","32601","Gainesville","55",55,2,"1647301d-c89a-4687-a828-60cf5532feff",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"3","Alachua-32603","32603","Gainesville","<5",-2,3,"c84081e0-43ca-4cf1-a23e-24325be5fec2",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"4","Alachua-32605","32605","Gainesville","26",26,4,"66b44975-71ed-48df-8ecc-cf0633a40ce4",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"5","Alachua-32606","32606","Gainesville","11",11,5,"46112ed0-6aa5-4805-96df-e0b1f3adfd49",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"6","Alachua-32607","32607","Gainesville","27",27,6,"49a37336-6a5d-4557-875c-7eccfc16cc8e",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"7","Alachua-32608","32608","Gainesville","51",51,7,"39a22ebe-7362-4279-828c-01b53ec7e206",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"8","Alachua-32609","32609","Gainesville","27",27,8,"67dd6d6f-b789-48f4-a2c0-a126abb8e9bd",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"9","Alachua-32610","32610","Gainesville","<5",-2,9,"d07f3451-4a2c-4955-a73a-7a629b23d7bb",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"10","Alachua-32611","32611",NA,"0",0,10,"8cb7a626-0fa3-41c0-b72c-f8729e4db66d",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"11","Alachua-32615","32615","Alachua, Santa Fe","14",14,11,"9f7c72e3-7626-45bb-be84-515fa562d9d1",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"12","Alachua-32618","32618","Archer","<5",-2,12,"db40a0a8-8ce2-4cd3-994d-62c27db759a5",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"13","Alachua-32622","32622",NA,"0",0,13,"27f0bb12-d205-44c3-b044-e5f6c7a96008",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"14","Alachua-32631","32631",NA,"0",0,14,"c2ec4e9a-2354-47b3-8351-700ba1fcacdf",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"15","Alachua-32640","32640","Hawthorne","7",7,15,"89f343d0-a63e-46f4-a0d0-75de5739de2f",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"16","Alachua-32641","32641","Gainesville","21",21,16,"200beb6d-57f1-482c-8656-ed333b13a987",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"17","Alachua-32643","32643","High Springs","5",5,17,"a0309e2d-f681-4914-bdbf-9a7e567e73ae",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"18","Alachua-32653","32653","Gainesville","13",13,18,"398ec318-da56-478c-a1a0-8e830ab7f067",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"19","Alachua-32666","32666",NA,"0",0,19,"82f9803e-e6db-42c1-8b19-de95bf62f80a",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"20","Alachua-32667","32667","Micanopy","<5",-2,20,"f8354261-f81f-4ada-b1f9-fbb0d176e258",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"21","Alachua-32669","32669","Newberry, Tioga","14",14,21,"99c0a6d8-fa78-42e7-abf5-87d3c70b5b05",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"22","Alachua-32694","32694","Waldo","<5",-2,22,"4e1c7cad-ef32-4e8d-9cf4-55614d6c093b",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"23","Baker-32040","32040","Glen Saint Mary","<5",-2,23,"82ac3584-f88e-4406-8451-d67e8ed5ebea",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"24","Baker-32063","32063","Macclenny","17",17,24,"46c6a551-351b-4407-9e8a-1add3768e040",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"25","Baker-32087","32087","Sanderson","<5",-2,25,"a6e31167-ed63-4ae8-b6fc-1e10afcbb3a1",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"26","Baker-32234","32234",NA,"0",0,26,"9c968160-15fe-4749-87da-27ab79b167dc",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"27","Bay-32401","32401","Panama City","19",19,27,"6817d703-af7b-4bf5-b00d-7d34c632cb46",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"28","Bay-32403","32403","Tyndall Air Force Base","<5",-2,28,"9bb8ee03-cb48-4622-a5f8-3392ef8a2a4c",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"29","Bay-32404","32404","Callaway, Panama City, Parker","16",16,29,"25e43444-ee6c-4c48-ac1e-85abe51bc25d",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"30","Bay-32405","32405","Panama City","14",14,30,"cda797cb-cbe5-4892-8f16-eb0f9812607d",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"31","Bay-32407","32407","Panama City Beach","7",7,31,"2fdfa214-4480-4251-bcb3-9b55f9b48d1c",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"32","Bay-32408","32408","Panama City, Panama City Beach","6",6,32,"6d16ca15-aeea-49ae-aa27-353c3eaf4a4a",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"33","Bay-32409","32409","Southport","<5",-2,33,"9d09ec70-1db4-4fc8-be35-915d74f33aee",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"34","Bay-32413","32413","Panama City Beach","<5",-2,34,"15e455f3-f8ce-4392-9e3d-867f1c918d0d",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"35","Bay-32437","32437",NA,"0",0,35,"5627be5e-402b-4c66-8d28-9a095b12b6d9",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
"36","Bay-32438","32438",NA,"0",0,36,"442420c6-130a-4b62-a3e5-dc213c7a5a49",1588966047198,"jessica.joiner_FDOH",1588966047198,"jessica.joiner_FDOH"
