"","OBJECTID_1","ZIP","NAME","ZIPTYPE","STATE","STATEFIPS","COUNTYFIPS","COUNTYNAME","S3DZIP","LAT","LON","EMPTYCOL","TOTRESCNT","MFDU","SFDU","BOXCNT","BIZCNT","RELVER","COLOR","SymbolID","FieldMatch","ZIP_CODE","Cases_1","LabelY","Cases_demo","ObjectID","Shape__Area","Shape__Length","GlobalID","CreationDate","Creator","EditDate","Editor"
"1",1,"32003","FLEMING ISLAND","NON-UNIQUE","FL","12","12019","CLAY","320",30.095852,-81.705019," ",10917,1547,9370,0,537,"1.20.01",4,NA,"Clay-32003","32003","34",34,"34",174,98195952,48023.4555955027,"be1f99f2-54fa-45ed-a9bf-8d33451a9008",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"2",2,"32008","BRANFORD","NON-UNIQUE","FL","12","12121","SUWANNEE","320",29.90304,-82.928064," ",2524,24,2176,324,211,"1.20.01",2,NA,"Dixie-32008","32008","0",0,"0",302,639174878.5,197593.264971108,"ffc4bdea-5dca-41d5-a1ae-9fda60157b94",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"3",3,"32009","BRYCEVILLE","NON-UNIQUE","FL","12","12089","NASSAU","320",30.418222,-81.973736," ",1297,0,1195,102,29,"1.20.01",4,NA,"Nassau-32009","32009","<5",-2,"<5",697,293188278.5,111382.654358594,"d662f39d-a106-4d1d-8bfc-b802a1a6793b",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"4",4,"32011","CALLAHAN","NON-UNIQUE","FL","12","12089","NASSAU","320",30.568708,-81.837842," ",6469,28,5708,733,338,"1.20.01",2,NA,"Nassau-32011","32011","14",14,"14",698,598509523.5,184840.130000141,"441f3c90-f2c8-4050-8cb8-5fc7c6c81c06",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"5",5,"32024","LAKE CITY","NON-UNIQUE","FL","12","12023","COLUMBIA","320",30.07961,-82.724964," ",7859,0,7859,0,184,"1.20.01",2,NA,"Columbia-32024","32024","21",21,"21",205,492614688.5,172664.247420961,"a0ed7eda-62e2-438d-b4cc-e25c27fc452f",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"6",6,"32025","LAKE CITY","NON-UNIQUE","FL","12","12023","COLUMBIA","320",30.108677,-82.580824," ",7786,750,7036,0,662,"1.20.01",5,NA,"Columbia-32025","32025","48",48,"48",206,324883382,153621.282512684,"4ca14c96-85c2-489c-8fc4-0b1cb49c09f9",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"7",7,"32033","ELKTON","NON-UNIQUE","FL","12","12109","SAINT JOHNS","320",29.778117,-81.431923," ",2196,0,2071,125,77,"1.20.01",4,NA,"St. Johns-32033","32033","<5",-2,"<5",1028,295929015.5,107337.860205388,"8cc7fe1e-d84e-4af9-82f1-e88a34172521",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"8",8,"32034","FERNANDINA BEACH","NON-UNIQUE","FL","12","12089","NASSAU","320",30.610276,-81.489378," ",17983,2327,15656,0,1105,"1.20.01",4,NA,"Nassau-32034","32034","21",21,"21",699,277486865,131339.138624867,"eba4b34c-dc06-4bd2-919e-04e714ebd561",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"9",9,"32038","FORT WHITE","NON-UNIQUE","FL","12","12023","COLUMBIA","320",29.937665,-82.699308," ",4459,0,4089,370,124,"1.20.01",3,NA,"Columbia-32038","32038","5",5,"5",207,373655948,117522.307316217,"d16cc218-924f-49f4-b479-7b3308757202",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"10",10,"32040","GLEN SAINT MARY","NON-UNIQUE","FL","12","12003","BAKER","320",30.232265,-82.243991," ",3220,0,2624,596,114,"1.20.01",4,NA,"Baker-32040","32040","<5",-2,"<5",23,469197706.5,181215.068556231,"cc48e5b8-08fa-4f78-8140-cab1c162b378",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"11",11,"32043","GREEN COVE SPRINGS","NON-UNIQUE","FL","12","12019","CLAY","320",29.936396,-81.747059," ",10759,238,10194,327,641,"1.20.01",3,NA,"Clay-32043","32043","65",65,"65",175,840603528.5,179645.209538381,"c229306f-c13e-4227-81c2-420712d4e9e4",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"12",12,"32044","HAMPTON","NON-UNIQUE","FL","12","12007","BRADFORD","320",29.855816,-82.161256," ",781,0,614,167,29,"1.20.01",3,NA,"Alachua-32044","32044","0",0,"0",1,63627116,67600.781580355,"dff427aa-2c9b-42a2-897e-5c9c5ec04ed9",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"13",13,"32046","HILLIARD","NON-UNIQUE","FL","12","12089","NASSAU","320",30.700633,-81.916002," ",3998,0,3500,498,243,"1.20.01",1,NA,"Nassau-32046","32046","11",11,"11",700,714693787.5,206788.872059378,"840f958f-47c6-40a2-94b9-81eb9005027b",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"14",14,"32052","JASPER","NON-UNIQUE","FL","12","12047","HAMILTON","320",30.497321,-82.929166," ",2632,0,2151,481,234,"1.20.01",5,NA,"Hamilton-32052","32052","<5",-2,"<5",396,1154056573,265029.576344517,"44d1f308-83dc-414a-95ca-91789cf5790c",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"15",15,"32053","JENNINGS","NON-UNIQUE","FL","12","12047","HAMILTON","320",30.56407,-83.152557," ",1632,0,1425,207,60,"1.20.01",2,NA,"Hamilton-32053","32053","<5",-2,"<5",397,374945434,109314.938768408,"941ee75d-c3c1-48b1-bac8-b448547d8633",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"16",16,"32054","LAKE BUTLER","NON-UNIQUE","FL","12","12125","UNION","320",30.025609,-82.396915," ",4106,45,3825,236,229,"1.20.01",2,NA,"Bradford-32054","32054","<5",-2,"<5",42,748180151,178618.767157247,"97cb1bad-a87d-4038-9740-6b8c019a415e",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"17",17,"32055","LAKE CITY","NON-UNIQUE","FL","12","12023","COLUMBIA","320",30.291777,-82.598603," ",6438,46,6331,61,814,"1.20.01",4,NA,"Columbia-32055","32055","23",23,"23",208,879927880.5,184633.839996353,"f851f261-6972-4394-811f-ca2b7d1680cf",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"18",18,"32058","LAWTEY","NON-UNIQUE","FL","12","12007","BRADFORD","320",30.084892,-82.104579," ",1549,0,1275,274,59,"1.20.01",2,NA,"Bradford-32058","32058","<5",-2,"<5",43,281486480,102179.42820759,"3b19cfb6-4d78-43f1-8688-b5ea9ff8a4aa",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"19",19,"32059","LEE","NON-UNIQUE","FL","12","12079","MADISON","320",30.369626,-83.286441," ",1252,0,1065,187,51,"1.20.01",1,NA,"Madison-32059","32059","<5",-2,"<5",617,457614244,171351.291175025,"348c583f-0a67-4cc3-9777-113bfd1ffdd8",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"20",20,"32060","LIVE OAK","NON-UNIQUE","FL","12","12121","SUWANNEE","320",30.274796,-83.05266," ",8140,145,7995,0,214,"1.20.01",2,NA,"Suwannee-32060","32060","31",31,"31",1070,1419191456,279923.607929485,"f5a982cd-8a68-4010-95f8-ff035147b479",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"21",21,"32061","LULU","NON-UNIQUE","FL","12","12023","COLUMBIA","320",30.099332,-82.511169," ",134,0,134,0,2,"1.20.01",1,NA,"Columbia-32061","32061","0",0,"0",210,80474935.5,66822.8798689704,"8ec8964e-c37e-4608-9730-67a2c0266844",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"22",22,"32062","MC ALPIN","NON-UNIQUE","FL","12","12121","SUWANNEE","320",30.133501,-82.980377," ",1142,0,1018,124,39,"1.20.01",3,NA,"Suwannee-32062","32062","5",5,"5",1071,217643974,121362.51616383,"06fa4927-d16b-4b7f-869a-168a5b36e210",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"23",23,"32063","MACCLENNY","NON-UNIQUE","FL","12","12003","BAKER","320",30.27376,-82.118817," ",5166,46,4595,525,508,"1.20.01",1,NA,"Baker-32063","32063","17",17,"17",24,246427668,93133.620074578,"ae8d4674-2b4d-4448-95e0-f42a3ffc2155",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"24",24,"32064","LIVE OAK","NON-UNIQUE","FL","12","12121","SUWANNEE","320",30.295519,-82.984097," ",3763,170,2353,1240,619,"1.20.01",1,NA,"Suwannee-32064","32064","100",100,"100",1072,26601707.5,27406.1488898184,"96355b64-af7c-4a07-aae7-c6cd8bdd4ed0",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"25",25,"32065","ORANGE PARK","NON-UNIQUE","FL","12","12019","CLAY","320",30.169796,-81.859284," ",14203,1726,12171,306,763,"1.20.01",1,NA,"Clay-32065","32065","43",43,"43",177,78891394.5,75422.233594395,"d7b8a293-3a21-4968-9e9d-cb5b54ef6aff",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"26",26,"32066","MAYO","NON-UNIQUE","FL","12","12067","LAFAYETTE","320",30.018412,-83.241972," ",2110,0,1756,354,173,"1.20.01",3,NA,"Lafayette-32066","32066","SUPPRESSED",-3,"SUPPRESSED",522,1526076695.5,265148.072349596,"469d2afb-f093-4453-a7c2-77f24c011e29",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"27",27,"32068","MIDDLEBURG","NON-UNIQUE","FL","12","12019","CLAY","320",30.076197,-81.888619," ",20576,160,20416,0,494,"1.20.01",2,NA,"Clay-32068","32068","48",48,"48",178,393406102,154307.799727325,"00927f10-87b0-4182-9512-a83161683d80",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"28",28,"32071","O BRIEN","NON-UNIQUE","FL","12","12121","SUWANNEE","320",30.039503,-82.937433," ",1692,2,1529,161,37,"1.20.01",1,NA,"Suwannee-32071","32071","<5",-2,"<5",1073,360107789,151164.986037243,"af2c2df3-d004-4a63-b76f-14eec377e731",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"29",29,"32073","ORANGE PARK","NON-UNIQUE","FL","12","12019","CLAY","320",30.167448,-81.744145," ",16996,3324,13672,0,1630,"1.20.01",3,NA,"Clay-32073","32073","87",87,"87",179,66631089,55037.7425164465,"06ff7175-2f91-48a0-83df-c78c3bc116e4",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
"30",30,"32080","SAINT AUGUSTINE","NON-UNIQUE","FL","12","12109","SAINT JOHNS","320",29.818562,-81.269453," ",13436,3532,9737,167,749,"1.20.01",3,NA,"Flagler-32080","32080","0",0,"0",365,83948651,78992.0378213268,"350e5723-d183-4e90-841c-365ab765621c",1588966047151,"jessica.joiner_FDOH",1588966047151,"jessica.joiner_FDOH"
