"","OBJECTID_1","OBJECTID","ZIP","POSTAL","STATE","EDITOR","DATE_MOD","code","ZIP_TYPE","Shape_STArea_1","Shape_STLength_1","TotalConfirmedCases","ActiveCases","Recovered","Death","Shape_STArea__","Shape_STLength__","Shape__Area","Shape__Length"
"1",1,203,"77493","KATY","TX","Ayuna Tsydypova",1306454400000,"WL","STANDARD",1231300072.07031,193720.08096607,93,48,45,0,0.0106830769641419,0.55658215310647,0.010683076934356,0.556582153069578
"2",2,143,"77386","SPRING","TX","Ayuna Tsydypova",1307404800000,"MO","STANDARD",5616758.00390625,75125.04957046,3,3,0,0,4.88223715819913e-05,0.223696011814312,4.88223747652228e-05,0.223696017462756
"3",3,256,"77484","WALLER","TX","Ayuna Tsydypova",1306454400000,"WL","STANDARD",909021807.609375,184820.05433213,4,2,2,0,0.00790317966652765,0.534395243424277,0.0079031796660729,0.534395247443562
"4",4,146,"77354","MAGNOLIA","TX","Ayuna Tsydypova",1307318400000,"MO","STANDARD",1765435.2421875,42276.27819865,0,0,0,0,1.53575622334756e-05,0.124830454789521,1.53575615513546e-05,0.12483045306915
"5",5,179,"77584","PEARLAND","TX","Ayuna",1310342400000,"BZ","STANDARD",771601.1640625,28652.16055354,1,1,0,0,6.67703238832473e-06,0.0882664186153281,6.67702852297225e-06,0.0882664151430719
"6",6,129,"77357","NEW CANEY","TX","Brian Klinger",1.306368e+12,"MO","STANDARD",81717172.0703125,75848.86305407,0,0,0,0,0.000710824763473283,0.221304176791747,0.000710824751649852,0.221304180080433
"7",7,137,"77520","BAYTOWN","TX","Brian Klinger",1310083200000,"HA","STANDARD",874631660.644531,187799.28895031,53,15,35,3,0.00757955852918712,0.556313016195545,0.00757955854714965,0.556313024891236
"8",8,109,"77503","PASADENA","TX","Ayuna Tsydypova",1308614400000,"HA","STANDARD",250892117.515625,104224.05481023,23,11,12,0,0.00217337929893802,0.301924215066665,0.00217337928938832,0.301924210659162
"9",9,201,"77447","HOCKLEY","TX","Ayuna Tsydypova",1306454400000,"WL","STANDARD",1827866242.70313,279710.06947858,10,4,6,0,0.0158812444637988,0.82491054047912,0.0158812444803971,0.824910542131119
"10",10,135,"77535","DAYTON","TX","Brian Klinger",1.306368e+12,"LB","STANDARD",64941470.4179688,133638.09867534,2,2,0,0,0.000564123317190024,0.383241084957073,0.000564123303774977,0.38324107648583
"11",11,83,"77336","HUFFMAN","TX","Brian Klinger",1309996800000,"HA","STANDARD",1290385652.63672,170522.20695816,2,1,1,0,0.0112172307442506,0.498174920809285,0.0112172307465244,0.498174924123753
"12",12,98,"77562","HIGHLANDS","TX","Brian Klinger",1310083200000,"HA","STANDARD",414080841.289063,132612.23578444,6,0,5,1,0.00359125758222945,0.400838657004882,0.00359125758541268,0.40083864936043
"13",13,148,"77355","MAGNOLIA","TX","Ayuna Tsydypova",1307318400000,"MO","STANDARD",5076939.76953125,29556.1231055,0,0,0,0,4.41456602402468e-05,0.0903839252276269,4.41456616044889e-05,0.0903839290666624
"14",14,218,"77007","HOUSTON","TX","Brian Klinger",1307577600000,"HA","STANDARD",218859135.300781,88174.36910312,68,47,20,1,0.00189715627607256,0.264629526258339,0.00189715628062004,0.264629528701298
