zip,cases,rate,tests,positive
53142,9,27.33153148,71,12.67605634
53143,6,25.56890821,41,14.63414634
60002,52,216.0724674,333,15.61561562
60004,103,202.2979476,1322,7.791225416
60005,63,213.2773621,370,17.02702703
60007,91,272.2920407,433,21.01616628
60008,93,425.9607017,307,30.29315961
60010,40,86.79237095,321,12.46105919
60012,44,401.5331265,117,37.60683761
60013,39,151.0047625,190,20.52631579
60014,69,142.4354396,450,15.33333333
60015,94,342.4158531,536,17.53731343
60016,508,851.8201787,1485,34.20875421
60018,218,717.4356612,676,32.24852071
60020,14,142.4646382,124,11.29032258
60021,8,144.1961067,58,13.79310345
60022,21,247.7291495,162,12.96296296
60025,183,446.1891062,926,19.76241901
60026,81,573.7356566,311,26.04501608
60030,65,176.5488769,457,14.22319475
60031,126,338.9648122,604,20.86092715
60033,42,306.9951027,158,26.58227848
60035,141,474.2046142,690,20.43478261
60040,38,708.1625047,108,35.18518519
60041,17,191.0756435,101,16.83168317
60042,9,106.888361,66,13.63636364
60043,14,557.3248408,71,19.71830986
60044,49,489.8530441,226,21.68141593
60045,85,402.2526146,396,21.46464646
60046,71,201.2129456,442,16.06334842
60047,68,159.4858925,332,20.48192771
60048,55,189.2766192,323,17.02786378
60050,84,256.6295979,351,23.93162393
60051,35,150.2274873,250,14
60053,138,593.3952528,581,23.75215146
60056,234,423.5294118,924,25.32467532
60060,133,357.4500108,477,27.88259958
60061,72,266.6271663,325,22.15384615
60062,144,355.9158654,853,16.88159437
60064,258,1642.788921,493,52.3326572
60067,55,144.0657988,425,12.94117647
60068,153,405.4483782,677,22.59970458
60069,30,366.479355,158,18.98734177
60070,72,448.6260826,269,26.76579926
60073,228,369.4940524,800,28.5
60074,121,306.4998227,478,25.31380753
60076,247,775.0964948,1119,22.07327971
60077,201,709.5202796,872,23.05045872
60081,23,238.0952381,95,24.21052632
60083,38,380.3803804,146,26.02739726
60084,80,481.579581,163,49.0797546
60085,931,1314.043754,1751,53.16961736
60087,243,910.8628833,559,43.47048301
60088,23,181.6458695,59,38.98305085
60089,105,253.6722072,507,20.71005917
60090,211,548.3938039,724,29.14364641
60091,94,343.479373,599,15.69282137
60093,96,493.8017592,475,20.21052632
60096,16,235.1903572,90,17.77777778
60097,18,166.2663957,126,14.28571429
60098,117,359.7122302,401,29.17705736
60099,223,720.889636,570,39.12280702
60101,256,652.7947776,753,33.99734396
60102,46,140.5052079,261,17.62452107
60103,79,187.2215376,445,17.75280899
60104,208,1094.794463,657,31.65905632
60106,211,1031.179748,728,28.98351648
60107,173,427.8260009,556,31.11510791
60108,85,373.3637881,494,17.20647773
60110,125,317.7993034,341,36.6568915
60112,11,252.5252525,43,25.58139535
60115,37,81.63265306,347,10.66282421
60118,23,145.2386966,117,19.65811966
60119,12,117.1188757,109,11.00917431
60120,194,380.9748242,493,39.35091278
60123,141,288.037261,490,28.7755102
60124,19,85.05685379,158,12.02531646
60126,129,266.473869,722,17.86703601
60130,59,420.1979916,405,14.56790123
60131,120,665.742025,484,24.79338843
60133,203,528.6458333,568,35.73943662
60134,68,231.2846502,270,25.18518519
60136,18,232.4980625,74,24.32432432
60137,58,151.5191097,417,13.9088729
60139,191,555.8142242,627,30.46251994
60140,25,141.7313907,180,13.88888889
60141,6,2777.777778,131,4.580152672
60142,31,110.2379005,249,12.4497992
60143,46,418.3339396,177,25.98870056
60148,125,236.013821,667,18.74062969
60152,14,113.4062373,111,12.61261261
60153,202,848.3830323,754,26.79045093
60154,97,585.289326,500,19.4
60155,89,1136.79908,271,32.84132841
60156,44,152.3229246,261,16.85823755
60160,215,846.056981,713,30.1542777
60162,76,930.8022045,267,28.46441948
60163,31,600.6587871,127,24.40944882
60164,184,851.8518519,807,22.80049566
60165,54,1096.892139,129,41.86046512
60169,104,308.9078326,406,25.61576355
60171,50,492.7079227,258,19.37984496
60172,54,219.9503075,252,21.42857143
60173,20,164.4466371,124,16.12903226
60174,43,136.9208725,368,11.68478261
60175,27,104.9195617,260,10.38461538
60176,50,427.2043746,237,21.09704641
60177,42,181.7473712,223,18.83408072
60178,13,58.00205238,180,7.222222222
60181,98,340.265963,436,22.47706422
60185,157,434.5539594,550,28.54545455
60187,41,138.0099636,353,11.61473088
60188,181,424.8626825,640,28.28125
60189,46,151.1815164,311,14.79099678
60190,12,107.690927,197,6.091370558
60191,53,374.6377324,238,22.26890756
60192,21,134.1853035,161,13.04347826
60193,85,211.1906182,438,19.40639269
60194,48,253.351631,246,19.51219512
60195,6,107.7586207,38,15.78947368
60201,170,401.9292605,1140,14.9122807
60202,156,474.7268799,959,16.26694473
60203,17,405.921681,111,15.31531532
60301,14,552.0504732,75,18.66666667
60302,110,343.2351473,750,14.66666667
60304,46,260.756193,366,12.56830601
60305,26,234.9963847,220,11.81818182
60401,27,347.0883147,158,17.08860759
60402,491,772.5713566,1775,27.66197183
60403,71,388.9558453,473,15.01057082
60404,48,255.3734837,354,13.55932203
60406,163,645.3911942,640,25.46875
60408,6,106.2134891,71,8.450704225
