"","OBJECTID","ZIPCODE1","ZIPName","ProtectedCount"
"1",1,"00000","Assateague Island",NA
"2",2,"20601","Waldorf",112
"3",3,"20602","Waldorf",129
"4",4,"20603","Waldorf",185
"5",5,"20606","Abell",NA
"6",6,"20607","Accokeek",71
"7",7,"20608","Aquasco",NA
"8",8,"20609","Avenue",NA
"9",9,"20611","Bel Alton",NA
"10",10,"20612","Benedict",NA
"11",11,"20613","Brandywine",89
"12",12,"20615","Broomes Island",NA
"13",13,"20616","Bryans Road",25
"14",14,"20617","Bryantown",NA
"15",15,"20618","Bushwood",NA
"16",16,"20619","California",11
"17",17,"20620","Callaway",NA
"18",18,"20621","Chaptico",NA
"19",19,"20622","Charlotte Hall",36
"20",20,"20623","Cheltenham",19
"21",21,"20624","Clements",NA
"22",22,"20625","Cobb Island",NA
"23",23,"20626","Coltons Point",NA
"24",24,"20628","Dameron",NA
"25",25,"20629","Dowell",NA
"26",26,"20630","Drayden",NA
"27",27,"20632","Faulkner",NA
"28",28,"20634","Great Mills",19
"29",29,"20636","Hollywood",14
"30",30,"20637","Hughesville",18
"31",31,"20639","Huntingtown",42
"32",32,"20640","Indian Head",30
"33",33,"20645","Issue",NA
"34",34,"20646","La Plata",93
"35",35,"20650","Leonardtown",13
"36",36,"20653","Lexington Park",47
"37",37,"20656","Loveville",NA
"38",38,"20657","Lusby",30
"39",39,"20658","Marbury",NA
"40",40,"20659","Mechanicsville",41
"41",41,"20662","Nanjemoy",9
"42",42,"20664","Newburg",9
"43",43,"20667","Park Hall",NA
"44",44,"20670","Patuxent River",NA
"45",45,"20674","Piney Point",NA
"46",46,"20675","Pomfret",NA
"47",47,"20676","Port Republic",NA
"48",48,"20677","Port Tobacco",9
"49",49,"20678","Prince Frederick",42
"50",50,"20680","Ridge",NA
"51",51,"20684","Saint Inigoes",NA
"52",52,"20685","Saint Leonard",9
"53",53,"20687","Scotland",NA
"54",54,"20688","Solomons",NA
"55",55,"20689","Sunderland",NA
"56",56,"20690","Tall Timbers",NA
"57",57,"20692","Valley Lee",NA
"58",58,"20693","Welcome",NA
"59",59,"20695","White Plains",46
"60",60,"20701","Annapolis Junction",NA
"61",61,"20705","Beltsville",343
"62",62,"20706","Lanham",581
"63",63,"20707","Laurel",276
"64",64,"20708","Laurel",257
"65",65,"20710","Bladensburg",123
"66",66,"20711","Lothian",19
"67",67,"20712","Mount Rainier",107
"68",68,"20714","North Beach",12
"69",69,"20715","Bowie",132
"70",70,"20716","Bowie",189
"71",71,"20720","Bowie",174
"72",72,"20721","Bowie",211
"73",73,"20722","Brentwood",93
"74",74,"20723","Laurel",170
"75",75,"20724","Laurel",160
"76",76,"20732","Chesapeake Beach",18
"77",77,"20733","Churchton",11
"78",78,"20735","Clinton",326
"79",79,"20736","Owings",17
"80",80,"20737","Riverdale",369
"81",81,"20740","College Park",172
"82",82,"20742","College Park",NA
"83",83,"20743","Capitol Heights",307
"84",84,"20744","Fort Washington",369
"85",85,"20745","Oxon Hill",253
"86",86,"20746","Suitland",217
"87",87,"20747","District Heights",315
"88",88,"20748","Temple Hills",268
"89",89,"20751","Deale",NA
