"","Zip","Cases","Deaths","Recovered","ReportDate"
"1","73942",707,5,347,"2020-05-22"
"2","74006",194,23,165,"2020-05-22"
"3","73501",128,1,98,"2020-05-22"
"4","73160",120,9,103,"2020-05-22"
"5","73072",118,12,102,"2020-05-22"
"6","73945",90,0,64,"2020-05-22"
"7","73012",83,0,41,"2020-05-22"
"8","73170",80,8,72,"2020-05-22"
"9","73013",77,6,68,"2020-05-22"
"10","74344",74,15,57,"2020-05-22"
"11","74136",71,1,34,"2020-05-22"
"12","74012",69,8,54,"2020-05-22"
"13","73080",68,1,56,"2020-05-22"
"14","73099",67,1,63,"2020-05-22"
"15","73119",67,7,55,"2020-05-22"
"16","73554",66,7,57,"2020-05-22"
"17","73112",65,5,55,"2020-05-22"
"18","73047",64,0,45,"2020-05-22"
"19","73107",64,2,49,"2020-05-22"
"20","73120",63,5,53,"2020-05-22"
"21","74429",60,12,47,"2020-05-22"
"22","74003",59,8,49,"2020-05-22"
"23","Other***",59,5,46,"2020-05-22"
"24","74070",58,7,47,"2020-05-22"
"25","74133",57,3,49,"2020-05-22"
"26","74110",55,2,51,"2020-05-22"
"27","73071",55,3,49,"2020-05-22"
"28","73505",54,1,40,"2020-05-22"
"29","74135",51,1,40,"2020-05-22"
"30","74146",50,0,40,"2020-05-22"
"31","74960",48,3,37,"2020-05-22"
"32","73142",45,3,35,"2020-05-22"
"33","74014",42,1,36,"2020-05-22"
"34","73018",41,2,22,"2020-05-22"
"35","73069",40,4,34,"2020-05-22"
"36","73132",40,0,32,"2020-05-22"
"37","74467",39,4,28,"2020-05-22"
"38","74066",38,3,34,"2020-05-22"
"39","73009",37,8,29,"2020-05-22"
"40","73169",36,1,32,"2020-05-22"
"41","74063",36,2,34,"2020-05-22"
"42","73110",35,1,32,"2020-05-22"
"43","74115",34,0,25,"2020-05-22"
"44","74011",34,2,31,"2020-05-22"
"45","73122",33,1,30,"2020-05-22"
"46","74105",33,2,27,"2020-05-22"
"47","74604",33,4,28,"2020-05-22"
