"","Num_WkEnd_May2","OBJECTID","ZipCode","Cases","created_user","created_date","last_edited_user","last_edited_date","Num_Males","Num_Females","Num_CommunityExp","Num_ContactExp","Num_TravelExp","Num_UnknownExp","Num_Hospitalized","Num_NotHospitalized","Num_0_to_4","Num_5_to_24","Num_25_to_49","Num_50_to_64","Num_65_plus","Num_Fatalities","Num_HospitalizedUnk","Num_WkEnd_Mar7","Num_WkEnd_Mar14","Num_WkEnd_Mar21","Num_WkEnd_Mar28","Num_WkEnd_Apr4","Num_WkEnd_Apr11","Num_WkEnd_Apr18","Num_WkEnd_Apr25","Num_WkEnd_May9","Num_WkEnd_May16","Num_WkEnd_May23","Num_WkEnd_May30","Num_WkEnd_Jun6","Num_WkEnd_Jun13","Num_WkEnd_Jun20","Num_WkEnd_Jun27","Num_WkEnd_Jul4","Num_WkEnd_Jul11","Num_WkEnd_Jul18","Num_WkEnd_Jul25","Num_WkEnd_Aug1","Num_WkTot_Mar7","Num_WkTot_Mar14","Num_WkTot_Mar21","Num_WkTot_Mar28","Num_WkTot_Apr4","Num_WkTot_Apr11","Num_WkTot_Apr18","Num_WkTot_Apr25","Num_WkTot_May2","Num_WkTot_May9","Num_WkTot_May16","Num_WkTot_May23","Num_WkTot_May30","Num_WkTot_Jun6","Num_WkTot_Jun13","Num_WkTot_Jun20","Num_WkTot_Jun27","Num_WkTot_Jul4","Num_WkTot_Jul11","Num_WkTot_Jul18","Num_WkTot_Jul25","Num_WkTot_Aug1","NNum_0_to_4","Num_Black","Num_White","Num_Hispanic","Num_Asian","Num_Other","Num_Recovered","Num_Native","pop_2019","Num_GenderUnk","Num_AgeUnk","Num_RaceUnk","Shape__Area","Shape__Length"
"1",0,1,"68106",41,"CJCarsley",1585169181502,"CJCARSLEY",1589885260720,19,21,12,18,0,9,3,36,0,5,20,10,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,14,22,3,0,10,0,21849,1,1,1,138437622.662598,62324.2745590938
"2",0,2,"68112",44,"CJCarsley",1585169181502,"CJCARSLEY",1589885260720,18,25,13,20,0,11,8,30,0,10,13,11,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",12,9,9,6,0,7,0,11921,1,0,8,391026400.146851,131345.693641033
"3",0,3,"68102",17,"CJCarsley",1585169181502,"CJCARSLEY",1589885260720,6,10,5,7,2,2,1,16,0,0,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",3,11,2,0,1,7,1,8077,1,0,0,53902738.80896,48074.446862707
"4",0,4,"68122",83,"CJCarsley",1585169181502,"CJCARSLEY",1589885260720,42,38,27,37,2,15,4,77,1,10,48,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",12,5,12,48,0,12,0,11400,3,2,6,536133838.207031,130542.811171164
"5",0,5,"68182",0,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,0,0,0,0,0,0,965,0,0,0,11269516.8033447,19217.36814021
"6",0,6,"68117",61,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,34,26,19,28,0,13,5,55,1,8,36,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,4,51,0,0,7,0,8599,1,2,6,129063490.253784,47326.9521603266
"7",0,7,"68007",10,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,5,5,3,6,0,0,0,10,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,7,0,2,0,5,0,11606,0,0,0,1155393976.28955,215703.086944591
"8",0,8,"68110",79,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,42,32,30,36,0,11,4,72,1,8,39,27,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",22,9,22,23,0,11,0,9001,5,0,3,260113513.602173,102615.9434477
"9",0,9,"68134",88,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,42,42,28,42,4,12,8,76,0,18,49,15,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",20,17,19,23,0,23,0,29404,4,0,9,225447921.515869,79735.861037646
"10",0,10,"68064",4,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,0,4,0,3,0,1,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,3,1,0,0,0,0,3834,0,0,0,1499218203.85571,211833.045151153
"11",0,11,"68127",75,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,42,29,25,31,1,13,8,66,0,13,36,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,25,41,4,1,16,0,22712,4,0,4,177325024.749023,54117.768108244
"12",0,12,"68111",165,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,81,77,61,64,2,29,19,136,3,27,95,29,9,2,10,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",40,8,46,57,2,35,0,25746,7,2,12,150132882.539673,58098.3815657644
"13",0,13,"68132",60,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,32,25,17,25,3,14,5,52,1,9,28,10,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",13,15,14,10,0,19,0,13393,3,2,8,70058657.3757324,40749.9925784842
"14",0,14,"68114",48,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,30,18,20,16,2,7,3,42,2,7,28,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",6,10,28,1,0,9,0,18181,0,1,3,161143634.399902,57599.8671037492
"15",0,15,"68131",56,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,25,26,13,21,4,14,2,53,1,4,32,15,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",8,14,18,10,0,17,0,12980,5,2,6,54520988.4638672,37341.8836446383
"16",0,16,"68010",0,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,0,0,0,0,0,0,759,0,0,0,28614433.8431396,23612.2782857318
"17",0,17,"68130",22,"CJCarsley",1585169181502,"CJCARSLEY",1589885260721,13,9,8,10,3,1,1,21,1,3,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,13,4,1,0,11,0,21088,0,0,3,223562973.974121,72745.3939257641
"18",0,18,"68164",65,"CJCarsley",1585169181502,"CJCARSLEY",1589885260722,32,32,21,29,4,7,4,57,1,10,39,10,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",16,24,16,5,0,16,0,28502,1,0,4,248926308.326782,72321.4550916743
"19",0,19,"68154",34,"CJCarsley",1585169181502,"CJCARSLEY",1589885260722,16,13,11,9,3,9,4,29,0,4,19,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",6,13,12,2,0,14,0,23790,5,1,1,200403496.327759,83596.7783149568
"20",0,20,"68069",2,"CJCarsley",1585169181502,"CJCARSLEY",1589885260722,1,1,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,2,0,0,0,1,0,2985,0,0,0,889661121.252808,220748.851192233
"21",0,21,"68135",26,"CJCarsley",1585169181502,"CJCARSLEY",1589885260722,10,15,8,7,5,5,1,25,0,3,14,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,15,6,3,0,12,0,30415,1,0,1,221913657.278076,66215.7353837558
"22",0,22,"68108",133,"CJCarsley",1585169181502,"CJCARSLEY",1589885260722,63,70,45,56,2,16,7,122,6,16,77,22,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",4,6,113,0,2,28,0,15928,0,3,8,86431964.6226807,43968.0758575964
"23",0,23,"68105",193,"CJCarsley",1585169181502,"CJCARSLEY",1589885260722,95,90,52,95,2,34,31,153,3,26,83,48,25,9,9,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",10,32,137,1,3,26,0,26229,8,8,10,109725574.522827,58429.0955531159
"24",0,24,"68198",0,"CJCarsley",1585169181502,"CJCARSLEY",1589885260722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,0,0,0,0,0,0,0,0,0,0,690926.145996094,3712.91370458565
"25",0,25,"68144",27,"CJCarsley",1585169181502,"CJCARSLEY",1589885260722,17,10,11,11,1,2,7,20,0,5,15,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",3,14,7,1,0,11,0,25384,0,0,2,212729292.146973,81347.5237959235
"26",0,26,"68116",23,"CJCarsley",1585169181502,"CJCARSLEY",1589885260722,11,10,6,7,2,7,0,21,0,7,10,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",2,11,4,2,0,9,0,32631,2,0,4,251708248.342651,64418.3575991863
"27",0,27,"68178",0,"CJCarsley",1585169181502,"CJCARSLEY",1589885260722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,0,0,0,0,0,0,2328,0,0,0,4964299.13525391,12527.1754640603
"28",0,28,"68022",67,"CJCarsley",1585169181502,"CJCARSLEY",1589885260722,23,31,34,24,2,4,3,48,0,1,15,13,26,0,16,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,25,8,0,0,10,0,23589,13,12,34,1045286186.96973,231731.934270424
"29",0,29,"68118",7,"CJCarsley",1585169181502,"CJCARSLEY",1589885260723,3,4,2,1,3,0,0,7,0,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,6,0,0,0,3,0,9972,0,0,0,111556336.830322,46459.1398992183
"30",0,30,"68137",48,"CJCarsley",1585169181502,"CJCARSLEY",1589885260723,26,21,18,20,2,8,4,42,1,2,18,18,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",2,15,24,3,2,17,0,27187,1,0,2,229549608.07019,72851.799743115
"31",0,31,"68152",28,"CJCarsley",1585169181502,"CJCARSLEY",1589885260723,13,13,4,20,0,3,5,19,1,2,12,10,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",7,4,8,6,1,6,0,6286,2,0,2,385425027.703369,115325.684593587
"32",0,32,"68104",257,"CJCarsley",1585169181502,"CJCARSLEY",1589885260723,122,113,63,119,6,50,29,220,1,32,130,57,32,4,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",31,39,35,130,2,43,0,36863,22,5,20,191096301.721436,65907.1626635962
"33",0,33,"68107",440,"CJCarsley",1585169181502,"CJCARSLEY",1589885260723,206,216,136,198,0,74,31,389,9,60,237,110,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",11,12,395,0,4,76,0,32812,18,9,18,204138906.471924,78303.5790252607
"34",0,34,"68142",11,"CJCarsley",1585169181502,"CJCARSLEY",1589885260723,6,5,3,2,1,5,1,8,0,1,7,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",2,2,3,4,0,1,0,4716,0,0,0,501551725.384644,123895.26299809
"35",0,35,"68124",18,"CJCarsley",1585169181502,"CJCARSLEY",1589885260723,6,11,8,6,2,2,2,16,0,3,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,8,8,1,0,8,0,15889,1,0,0,155974342.20105,55087.3897072324
