"","OBJECTID","PO_NAME","ZIP_CODE","Negative","Positive","Probable","Additional_Tracking","Positive_Redacted","Negative_Redacted"
"1",227,"Alum Bank","15521",26,-1,0,NA,NA,NA
"2",228,"Bedford","15522",132,-1,-1,NA,NA,NA
"3",229,"Berlin","15530",84,-1,-1,NA,NA,NA
"4",230,"Boswell","15531",62,0,0,NA,NA,NA
"5",231,"Breezewood","15533",15,0,0,NA,NA,NA
"6",232,"Buffalo Mills","15534",-1,0,0,NA,NA,NA
"7",233,"Clearville","15535",21,0,0,NA,NA,NA
"8",234,"Crystal Spring","15536",10,-1,0,NA,NA,NA
"9",235,"Everett","15537",104,-1,0,NA,NA,NA
"10",236,"Fairhope","15538",10,0,0,NA,NA,NA
"11",237,"Fishertown","15539",7,0,0,NA,NA,NA
"12",239,"Friedens","15541",59,-1,-1,NA,NA,NA
"13",240,"Garrett","15542",17,0,0,NA,NA,NA
"14",241,"Hyndman","15545",11,-1,0,NA,NA,NA
"15",242,"Jenners","15546",8,0,0,NA,NA,NA
"16",243,"Manns Choice","15550",20,0,0,NA,NA,NA
"17",245,"Meyersdale","15552",103,-1,-1,NA,NA,NA
"18",246,"New Paris","15554",31,-1,-1,NA,NA,NA
"19",247,"Quecreek","15555",0,0,0,NA,NA,NA
"20",249,"Salisbury","15558",21,0,0,NA,NA,NA
"21",250,"Schellsburg","15559",20,-1,0,NA,NA,NA
"22",251,"Springs","15562",-1,0,0,NA,NA,NA
"23",252,"Stoystown","15563",47,-1,-1,NA,NA,NA
"24",253,"Wellersburg","15564",-1,0,0,NA,NA,NA
"25",309,"Indiana","15705",-1,0,0,NA,NA,NA
"26",310,"Anita","15711",-1,0,0,NA,NA,NA
"27",312,"Northern Cambria","15714",121,0,0,NA,NA,NA
"28",313,"Black Lick","15716",-1,-1,0,NA,NA,NA
"29",315,"Brush Valley","15720",-1,0,0,NA,NA,NA
"30",316,"Burnside","15721",-1,0,0,NA,NA,NA
"31",317,"Carrolltown","15722",40,0,0,NA,NA,NA
"32",318,"Cherry Tree","15724",24,-1,0,NA,NA,NA
"33",320,"Clymer","15728",15,0,-1,NA,NA,NA
"34",321,"Commodore","15729",7,0,0,NA,NA,NA
"35",322,"Coolspring","15730",0,0,0,NA,NA,NA
"36",324,"Ernest","15739",0,0,0,NA,NA,NA
"37",325,"Glen Campbell","15742",-1,-1,0,NA,NA,NA
"38",326,"Hamilton","15744",0,0,0,NA,NA,NA
"39",329,"Josephine","15750",-1,-1,0,NA,NA,NA
"40",330,"La Jose","15753",-1,0,0,NA,NA,NA
"41",331,"Mahaffey","15757",-1,0,0,NA,NA,NA
"42",332,"Marchand","15758",0,0,0,NA,NA,NA
"43",333,"Marion Center","15759",13,-1,0,NA,NA,NA
"44",334,"Marsteller","15760",-1,-1,0,NA,NA,NA
"45",335,"Nicktown","15762",19,0,0,NA,NA,NA
"46",336,"Northpoint","15763",0,0,0,NA,NA,NA
"47",337,"Oliveburg","15764",-1,0,0,NA,NA,NA
"48",338,"Penn Run","15765",6,-1,0,NA,NA,NA
"49",339,"Punxsutawney","15767",107,-1,0,NA,NA,NA
"50",340,"Ringgold","15770",-1,0,0,NA,NA,NA
"51",341,"Rochester Mills","15771",-1,-1,0,NA,NA,NA
"52",342,"Rossiter","15772",12,-1,-1,NA,NA,NA
"53",343,"Saint Benedict","15773",5,0,0,NA,NA,NA
"54",345,"Spangler","15775",0,0,0,NA,NA,NA
"55",346,"Sprankle Mills","15776",-1,0,0,NA,NA,NA
"56",347,"Starford","15777",-1,0,0,NA,NA,NA
"57",348,"Timblin","15778",-1,0,0,NA,NA,NA
"58",349,"Valier","15780",-1,0,0,NA,NA,NA
