"","OBJECTID","POSTCODE","NAME","Positive","Death","Recovered","Active","Rate","Rate_Draft","Positive_Draft","Death_Draft","ZIPType","Shape__Area","Shape__Length"
"1",1,"29301","Spartanburg",29,NA,NA,NA,NA,NA,30,NA,"Standard",72807995.1085205,51160.3831367764
"2",2,"29302","Spartanburg",17,NA,NA,NA,NA,NA,17,NA,"Standard",128716336.803833,104906.732994029
"3",3,"29303","Spartanburg",22,NA,NA,NA,NA,NA,23,NA,"Standard",82807290.9591064,61403.8069189172
"4",4,"29306","Spartanburg",31,NA,NA,NA,NA,NA,33,NA,"Standard",49455788.3054199,72652.5561248794
"5",5,"29316","Boiling Springs",36,NA,NA,NA,NA,NA,37,NA,"Standard",56173102.3153076,44277.7834586481
"6",6,"29321","Buffalo",1,NA,NA,NA,NA,NA,1,NA,"Standard",94757342.9862061,58957.5857828315
"7",7,"29325","Clinton",14,NA,NA,NA,NA,NA,14,NA,"Standard",450922121.21582,135962.072504278
"8",8,"29334","Duncan",25,NA,NA,NA,NA,NA,26,NA,"Standard",58819752.2047119,61143.6910563138
"9",9,"29340","Gaffney",13,NA,NA,NA,NA,NA,13,NA,"Standard",423355678.885132,123599.422314737
"10",10,"29341","Gaffney",7,NA,NA,NA,NA,NA,7,NA,"Standard",239367529.496582,83221.4144577018
"11",11,"29349","Inman",43,NA,NA,NA,NA,NA,44,NA,"Standard",206733719.995239,120486.127597913
"12",12,"29351","Joanna",0,NA,NA,NA,NA,NA,0,NA,"Standard",28010303.7890625,31759.4505245465
"13",13,"29353","Jonesville",1,NA,NA,NA,NA,NA,1,NA,"Standard",248783309.835205,128730.449179858
"14",14,"29360","Laurens",17,NA,NA,NA,NA,NA,17,NA,"Standard",383141078.088379,152241.180026638
"15",15,"29379","Union",28,NA,NA,NA,NA,NA,28,NA,"Standard",698593999.941528,194940.94694017
"16",16,"29365","Lyman",24,NA,NA,NA,NA,NA,25,NA,"Standard",46514519.135376,54113.8382853889
"17",17,"29369","Moore",15,NA,NA,NA,NA,NA,15,NA,"Standard",72820915.3099365,49447.3134895302
"18",18,"29370","Mountville",2,NA,NA,NA,NA,NA,2,NA,"Standard",127739446.590088,77300.3898013732
"19",19,"29376","Roebuck",16,NA,NA,NA,NA,NA,16,NA,"Standard",100042814.522339,80740.1646945506
