"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.Testing.Encounters"
"1","5/17/2020","20105","64","552"
"2","5/17/2020","20106","27","104"
"3","5/17/2020","20109","585","1,541"
"4","5/17/2020","20110","675","1,753"
"5","5/17/2020","20111","452","1,240"
"6","5/17/2020","20112","109","727"
"7","5/17/2020","20115","22","136"
"8","5/17/2020","20117","7","65"
"9","5/17/2020","20118","Suppressed*","54"
"10","5/17/2020","20119","14","91"
"11","5/17/2020","20120","151","937"
"12","5/17/2020","20121","107","564"
"13","5/17/2020","20124","34","336"
"14","5/17/2020","20129","7","30"
"15","5/17/2020","20130","0","8"
"16","5/17/2020","20132","26","332"
"17","5/17/2020","20135","5","58"
"18","5/17/2020","20136","85","666"
"19","5/17/2020","20137","Suppressed*","30"
"20","5/17/2020","20139","Suppressed*","5"
"21","5/17/2020","20141","7","149"
"22","5/17/2020","20143","0","23"
"23","5/17/2020","20144","Suppressed*","18"
"24","5/17/2020","20147","204","1,637"
"25","5/17/2020","20148","84","862"
"26","5/17/2020","20151","117","499"
"27","5/17/2020","20152","64","510"
"28","5/17/2020","20155","136","879"
"29","5/17/2020","20158","9","80"
"30","5/17/2020","20164","432","1,240"
"31","5/17/2020","20165","130","812"
"32","5/17/2020","20166","74","357"
"33","5/17/2020","20169","53","565"
"34","5/17/2020","20170","410","1,231"
"35","5/17/2020","20171","190","871"
"36","5/17/2020","20175","72","738"
"37","5/17/2020","20176","223","1,254"
"38","5/17/2020","20180","9","166"
"39","5/17/2020","20181","23","219"
"40","5/17/2020","20184","Suppressed*","30"
"41","5/17/2020","20186","38","393"
"42","5/17/2020","20187","37","375"
"43","5/17/2020","20190","127","651"
"44","5/17/2020","20191","165","819"
"45","5/17/2020","20194","20","271"
"46","5/17/2020","20197","Suppressed*","62"
"47","5/17/2020","20198","Suppressed*","48"
"48","5/17/2020","22003","682","1,995"
"49","5/17/2020","22015","259","1,097"
"50","5/17/2020","22025","68","437"
"51","5/17/2020","22026","107","524"
"52","5/17/2020","22027","39","90"
"53","5/17/2020","22030","204","1,319"
"54","5/17/2020","22031","210","975"
"55","5/17/2020","22032","86","634"
"56","5/17/2020","22033","140","872"
"57","5/17/2020","22035","0","5"
"58","5/17/2020","22039","46","396"
"59","5/17/2020","22041","455","1,133"
"60","5/17/2020","22042","417","1,267"
"61","5/17/2020","22043","145","633"
"62","5/17/2020","22044","166","464"
"63","5/17/2020","22046","102","529"
"64","5/17/2020","22060","12","84"
"65","5/17/2020","22066","37","541"
"66","5/17/2020","22079","196","956"
"67","5/17/2020","22101","92","1,011"
