"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.PCR.Testing.Encounters"
"1","5/18/2020","20105","65",440
"2","5/18/2020","20106","28",90
"3","5/18/2020","20109","599",1490
"4","5/18/2020","20110","705",1692
"5","5/18/2020","20111","468",1163
"6","5/18/2020","20112","117",635
"7","5/18/2020","20115","22",113
"8","5/18/2020","20117","7",43
"9","5/18/2020","20118","Suppressed*",27
"10","5/18/2020","20119","14",83
"11","5/18/2020","20120","162",752
"12","5/18/2020","20121","108",509
"13","5/18/2020","20124","34",242
"14","5/18/2020","20129","7",24
"15","5/18/2020","20130","0",6
"16","5/18/2020","20132","27",240
"17","5/18/2020","20135","5",51
"18","5/18/2020","20136","88",517
"19","5/18/2020","20137","Suppressed*",23
"20","5/18/2020","20139","Suppressed*",5
"21","5/18/2020","20141","8",97
"22","5/18/2020","20143","0",17
"23","5/18/2020","20144","Suppressed*",11
"24","5/18/2020","20147","210",1332
"25","5/18/2020","20148","84",652
"26","5/18/2020","20151","122",435
"27","5/18/2020","20152","65",420
"28","5/18/2020","20155","138",687
"29","5/18/2020","20158","9",52
"30","5/18/2020","20164","445",1179
"31","5/18/2020","20165","135",647
"32","5/18/2020","20166","75",321
"33","5/18/2020","20169","55",378
"34","5/18/2020","20170","430",1133
"35","5/18/2020","20171","192",720
"36","5/18/2020","20175","76",505
"37","5/18/2020","20176","230",927
"38","5/18/2020","20180","9",117
"39","5/18/2020","20181","24",186
"40","5/18/2020","20184","Suppressed*",22
"41","5/18/2020","20186","39",335
"42","5/18/2020","20187","39",305
"43","5/18/2020","20190","129",557
"44","5/18/2020","20191","170",699
"45","5/18/2020","20194","21",197
"46","5/18/2020","20197","Suppressed*",44
"47","5/18/2020","20198","Suppressed*",32
"48","5/18/2020","22003","694",1875
"49","5/18/2020","22015","262",941
"50","5/18/2020","22025","68",397
"51","5/18/2020","22026","109",520
"52","5/18/2020","22027","39",73
"53","5/18/2020","22030","211",1066
"54","5/18/2020","22031","214",872
"55","5/18/2020","22032","87",516
"56","5/18/2020","22033","141",709
"57","5/18/2020","22035","0",4
"58","5/18/2020","22039","47",309
"59","5/18/2020","22041","476",1118
"60","5/18/2020","22042","424",1186
"61","5/18/2020","22043","151",529
"62","5/18/2020","22044","168",442
"63","5/18/2020","22046","103",416
"64","5/18/2020","22060","12",80
"65","5/18/2020","22066","38",328
"66","5/18/2020","22079","197",876
"67","5/18/2020","22101","92",677
"68","5/18/2020","22102","76",564
"69","5/18/2020","22124","36",297
"70","5/18/2020","22125","Suppressed*",21
"71","5/18/2020","22134","13",52
"72","5/18/2020","22150","501",1236
"73","5/18/2020","22151","181",544
"74","5/18/2020","22152","130",574
"75","5/18/2020","22153","108",590
"76","5/18/2020","22172","79",290
"77","5/18/2020","22180","110",549
"78","5/18/2020","22181","31",250
"79","5/18/2020","22182","67",480
"80","5/18/2020","22191","873",2856
"81","5/18/2020","22192","354",1668
"82","5/18/2020","22193","781",2686
"83","5/18/2020","22201","155",845
"84","5/18/2020","22202","130",583
"85","5/18/2020","22203","213",603
"86","5/18/2020","22204","650",1872
"87","5/18/2020","22205","92",486
"88","5/18/2020","22206","120",548
"89","5/18/2020","22207","198",882
"90","5/18/2020","22209","54",311
"91","5/18/2020","22211","Suppressed*",11
"92","5/18/2020","22213","11",68
"93","5/18/2020","22214","0",2
"94","5/18/2020","22301","54",349
"95","5/18/2020","22302","156",522
"96","5/18/2020","22303","115",480
"97","5/18/2020","22304","450",1578
"98","5/18/2020","22305","431",832
"99","5/18/2020","22306","497",1268
"100","5/18/2020","22307","45",262
"101","5/18/2020","22308","53",189
"102","5/18/2020","22309","383",1055
"103","5/18/2020","22310","194",718
"104","5/18/2020","22311","277",774
"105","5/18/2020","22312","313",960
"106","5/18/2020","22314","138",830
"107","5/18/2020","22315","68",500
"108","5/18/2020","22401","89",586
"109","5/18/2020","22405","64",597
"110","5/18/2020","22406","54",464
"111","5/18/2020","22407","191",1248
"112","5/18/2020","22408","63",553
"113","5/18/2020","22427","Suppressed*",59
"114","5/18/2020","22432","Suppressed*",12
"115","5/18/2020","22433","Suppressed*",6
"116","5/18/2020","22435","Suppressed*",52
"117","5/18/2020","22436","0",11
"118","5/18/2020","22437","Suppressed*",16
"119","5/18/2020","22438","Suppressed*",4
"120","5/18/2020","22443","11",131
"121","5/18/2020","22448","Suppressed*",15
"122","5/18/2020","22454","Suppressed*",24
"123","5/18/2020","22460","Suppressed*",21
"124","5/18/2020","22469","Suppressed*",32
"125","5/18/2020","22473","10",95
"126","5/18/2020","22476","Suppressed*",4
"127","5/18/2020","22480","0",21
"128","5/18/2020","22482","Suppressed*",68
"129","5/18/2020","22485","47",488
"130","5/18/2020","22488","Suppressed*",22
"131","5/18/2020","22503","Suppressed*",95
"132","5/18/2020","22504","0",3
"133","5/18/2020","22508","25",261
"134","5/18/2020","22511","Suppressed*",16
"135","5/18/2020","22514","Suppressed*",26
"136","5/18/2020","22520","27",118
"137","5/18/2020","22529","0",5
"138","5/18/2020","22530","0",1
"139","5/18/2020","22534","Suppressed*",38
"140","5/18/2020","22535","0",11
"141","5/18/2020","22538","0",6
"142","5/18/2020","22539","Suppressed*",48
"143","5/18/2020","22542","Suppressed*",34
"144","5/18/2020","22546","25",244
"145","5/18/2020","22548","0",3
"146","5/18/2020","22551","55",399
"147","5/18/2020","22553","14",268
"148","5/18/2020","22554","244",1213
"149","5/18/2020","22556","114",586
"150","5/18/2020","22560","26",154
"151","5/18/2020","22567","Suppressed*",75
"152","5/18/2020","22572","249",449
"153","5/18/2020","22576","0",31
"154","5/18/2020","22578","0",38
"155","5/18/2020","22579","Suppressed*",4
"156","5/18/2020","22580","6",90
"157","5/18/2020","22601","89",206
"158","5/18/2020","22602","86",178
"159","5/18/2020","22603","34",83
"160","5/18/2020","22610","7",12
"161","5/18/2020","22611","10",86
"162","5/18/2020","22620","Suppressed*",14
