"","GEO","DEATHS","OBJECTID","GEOID","LoadDttm","NEGATIVE","POSITIVE","POP","POP_MOE","NAME","COUNTY"
"1","Census tract",-999,1001,"55079006500",1589893248000,49,8,2126,305,"65"," Milwaukee"
"2","Census tract",-999,1002,"55079007400",1589893248000,37,10,4073,251,"74"," Milwaukee"
"3","Census tract",-999,1003,"55079007500",1589893248000,47,-999,2742,241,"75"," Milwaukee"
"4","Census tract",-999,1004,"55079007600",1589893248000,62,5,3612,287,"76"," Milwaukee"
"5","Census tract",-999,1005,"55139002800",1589893248000,107,5,4536,379,"28"," Winnebago"
"6","Census tract",-999,1006,"55139002900",1589893248000,42,-999,2459,342,"29"," Winnebago"
"7","Census tract",-999,1007,"55079003700",1589893248000,90,11,2424,254,"37"," Milwaukee"
"8","Census tract",-999,1008,"55079003800",1589893248000,83,16,2313,288,"38"," Milwaukee"
"9","Census tract",-999,1009,"55079003900",1589893248000,105,28,2890,409,"39"," Milwaukee"
"10","Census tract",-999,1010,"55079007800",1589893248000,38,6,3260,312,"78"," Milwaukee"
"11","Census tract",-999,1011,"55079007900",1589893248000,25,-999,2138,223,"79"," Milwaukee"
"12","Census tract",-999,1012,"55079008000",1589893248000,40,5,1906,201,"80"," Milwaukee"
"13","Census tract",-999,1013,"55079007700",1589893248000,77,22,3515,377,"77"," Milwaukee"
"14","Census tract",-999,1014,"55079008100",1589893248000,45,-999,1238,190,"81"," Milwaukee"
"15","Census tract",-999,1015,"55079010600",1589893248000,32,-999,1361,243,"106"," Milwaukee"
"16","Census tract",-999,1016,"55077960100",1589893248000,56,-999,2733,105,"9601"," Marquette"
"17","Census tract",-999,1017,"55077960500",1589893248000,75,-999,3619,147,"9605"," Marquette"
"18","Census tract",-999,1018,"55077960400",1589893248000,58,-999,2650,114,"9604"," Marquette"
"19","Census tract",-999,1019,"55077960200",1589893248000,42,-999,2388,119,"9602"," Marquette"
"20","Census tract",-999,1020,"55077960300",1589893248000,82,-999,3817,141,"9603"," Marquette"
"21","Census tract",-999,1021,"55031021100",1589893248000,43,-999,2320,232,"211"," Douglas"
"22","Census tract",-999,1022,"55035001200",1589893248000,133,-999,6292,545,"12"," Eau Claire"
"23","Census tract",-999,1023,"55075961300",1589893248000,68,-999,2942,203,"9613"," Marinette"
"24","Census tract",-999,1024,"55075961400",1589893248000,127,-999,4528,272,"9614"," Marinette"
"25","Census tract",-999,1025,"55073000200",1589893248000,31,-999,2960,241,"2"," Marathon"
"26","Census tract",-999,1026,"55073000300",1589893248000,64,-999,4984,396,"3"," Marathon"
"27","Census tract",-999,1027,"55073000500",1589893248000,48,-999,3015,223,"5"," Marathon"
"28","Census tract",-999,1028,"55073000601",1589893248000,33,-999,2183,190,"6.01"," Marathon"
"29","Census tract",-999,1029,"55073000602",1589893248000,59,-999,3838,356,"6.02"," Marathon"
"30","Census tract",-999,1030,"55055101100",1589893248000,124,-999,4618,271,"1011"," Jefferson"
"31","Census tract",-999,1031,"55055100300",1589893248000,99,-999,6169,326,"1003"," Jefferson"
"32","Census tract",-999,1032,"55055100200",1589893248000,80,-999,3482,278,"1002"," Jefferson"
"33","Census tract",-999,1033,"55055101702",1589893248000,74,5,4899,113,"1017.02"," Jefferson"
"34","Census tract",-999,1034,"55055101701",1589893248000,26,-999,1472,94,"1017.01"," Jefferson"
"35","Census tract",-999,1035,"55055100400",1589893248000,108,5,6047,282,"1004"," Jefferson"
"36","Census tract",-999,1036,"55055100500",1589893248000,153,-999,6465,115,"1005"," Jefferson"
"37","Census tract",-999,1037,"55055101400",1589893248000,89,5,3274,232,"1014"," Jefferson"
"38","Census tract",-999,1038,"55073000700",1589893248000,77,-999,5695,558,"7"," Marathon"
"39","Census tract",-999,1039,"55073000800",1589893248000,48,-999,3367,288,"8"," Marathon"
"40","Census tract",-999,1040,"55073000900",1589893248000,29,-999,2321,207,"9"," Marathon"
"41","Census tract",-999,1041,"55073001000",1589893248000,45,-999,3679,267,"10"," Marathon"
"42","Census tract",-999,1042,"55073001104",1589893248000,87,-999,6288,394,"11.04"," Marathon"
"43","Census tract",-999,1043,"55055101202",1589893248000,32,-999,1536,141,"1012.02"," Jefferson"
"44","Census tract",-999,1044,"55055101300",1589893248000,158,5,6032,305,"1013"," Jefferson"
"45","Census tract",-999,1045,"55073001202",1589893248000,70,-999,5571,341,"12.02"," Marathon"
"46","Census tract",-999,1046,"55127000400",1589893248000,77,7,3651,296,"4"," Walworth"
"47","Census tract",-999,1047,"55055101500",1589893248000,94,7,4118,231,"1015"," Jefferson"
"48","Census tract",-999,1048,"55055101201",1589893248000,43,-999,2108,131,"1012.01"," Jefferson"
"49","Census tract",-999,1049,"55055101600",1589893248000,83,-999,6680,264,"1016"," Jefferson"
"50","Census tract",-999,1050,"55055100800",1589893248000,78,-999,4262,223,"1008"," Jefferson"
"51","Census tract",-999,1051,"55055100100",1589893248000,109,-999,6258,350,"1001"," Jefferson"
"52","Census tract",-999,1052,"55055100700",1589893248000,95,5,4635,202,"1007"," Jefferson"
"53","Census tract",-999,1053,"55055100602",1589893248000,70,-999,3302,97,"1006.02"," Jefferson"
"54","Census tract",-999,1054,"55055100900",1589893248000,78,-999,3788,188,"1009"," Jefferson"
"55","Census tract",-999,1055,"55055100601",1589893248000,40,-999,1600,121,"1006.01"," Jefferson"
"56","Census tract",-999,1056,"55055101000",1589893248000,83,-999,3907,221,"1010"," Jefferson"
"57","Census tract",-999,1057,"55141011000",1589893248000,99,-999,5628,342,"110"," Wood"
"58","Census tract",-999,1058,"55141011500",1589893248000,88,-999,5593,213,"115"," Wood"
"59","Census tract",-999,1059,"55141010600",1589893248000,84,-999,4187,254,"106"," Wood"
"60","Census tract",-999,1060,"55089610102",1589893248000,56,8,3863,162,"6101.02"," Ozaukee"
"61","Census tract",-999,1061,"55089610101",1589893248000,53,-999,4423,204,"6101.01"," Ozaukee"
"62","Census tract",-999,1062,"55109120800",1589893248000,197,10,8216,246,"1208"," St. Croix"
"63","Census tract",-999,1063,"55109120300",1589893248000,92,-999,5781,266,"1203"," St. Croix"
"64","Census tract",-999,1064,"55109120400",1589893248000,166,6,10932,24,"1204"," St. Croix"
"65","Census tract",-999,1065,"55109120600",1589893248000,155,-999,8294,266,"1206"," St. Croix"
"66","Census tract",-999,1066,"55109120700",1589893248000,134,-999,4593,170,"1207"," St. Croix"
"67","Census tract",-999,1067,"55109121000",1589893248000,135,-999,7428,197,"1210"," St. Croix"
"68","Census tract",-999,1068,"55139001500",1589893248000,50,-999,3081,262,"15"," Winnebago"
"69","Census tract",-999,1069,"55101000200",1589893248000,158,55,5641,537,"2"," Racine"
"70","Census tract",-999,1070,"55101002600",1589893248000,187,17,5928,299,"26"," Racine"
"71","Census tract",-999,1071,"55101000300",1589893248000,118,40,3638,445,"3"," Racine"
"72","Census tract",-999,1072,"55101980000",1589893248000,33,-999,902,375,"9800"," Racine"
"73","Census tract",-999,1073,"55101001601",1589893248000,117,14,6703,401,"16.01"," Racine"
"74","Census tract",-999,1074,"55101001301",1589893248000,104,20,4166,340,"13.01"," Racine"
"75","Census tract",-999,1075,"55101001001",1589893248000,126,26,2278,199,"10.01"," Racine"
"76","Census tract",-999,1076,"55101000400",1589893248000,124,36,3634,414,"4"," Racine"
"77","Census tract",-999,1077,"55101000100",1589893248000,41,9,1033,118,"1"," Racine"
