"","attributes.OBJECTID","attributes.PO_NAME","attributes.ZIP_CODE","attributes.Negative","attributes.Positive","attributes.Probable","attributes.Additional_Tracking","attributes.Positive_Redacted","attributes.Negative_Redacted"
"1", 227,Alum Bank,15521,   8, -1, 0,NA,NA,NA
"2", 228,Bedford,15522,  51, -1, 0,NA,NA,NA
"3", 229,Berlin,15530,  43, -1,-1,NA,NA,NA
"4", 230,Boswell,15531,  22,  0, 0,NA,NA,NA
"5", 231,Breezewood,15533,   8,  0, 0,NA,NA,NA
"6", 232,Buffalo Mills,15534,  -1,  0, 0,NA,NA,NA
"7", 233,Clearville,15535,  10,  0, 0,NA,NA,NA
"8", 234,Crystal Spring,15536,  -1,  0, 0,NA,NA,NA
"9", 235,Everett,15537,  42, -1, 0,NA,NA,NA
"10", 236,Fairhope,15538,   5,  0, 0,NA,NA,NA
"11", 237,Fishertown,15539,  -1,  0, 0,NA,NA,NA
"12", 239,Friedens,15541,  24, -1, 0,NA,NA,NA
"13", 240,Garrett,15542,  10,  0, 0,NA,NA,NA
"14", 241,Hyndman,15545,   6, -1, 0,NA,NA,NA
"15", 242,Jenners,15546,  -1,  0, 0,NA,NA,NA
"16", 243,Manns Choice,15550,   9,  0, 0,NA,NA,NA
"17", 245,Meyersdale,15552,  54, -1,-1,NA,NA,NA
"18", 246,New Paris,15554,  17, -1,-1,NA,NA,NA
"19", 247,Quecreek,15555,   0,  0, 0,NA,NA,NA
"20", 249,Salisbury,15558,  11,  0, 0,NA,NA,NA
"21", 250,Schellsburg,15559,   7, -1, 0,NA,NA,NA
"22", 251,Springs,15562,  -1,  0, 0,NA,NA,NA
"23", 252,Stoystown,15563,  19, -1,-1,NA,NA,NA
"24", 253,Wellersburg,15564,  -1,  0, 0,NA,NA,NA
"25", 309,Indiana,15705,  -1,  0, 0,NA,NA,NA
"26", 310,Anita,15711,  -1,  0, 0,NA,NA,NA
"27", 312,Northern Cambria,15714,  54,  0, 0,NA,NA,NA
"28", 313,Black Lick,15716,  -1,  0, 0,NA,NA,NA
"29", 315,Brush Valley,15720,   0,  0, 0,NA,NA,NA
"30", 316,Burnside,15721,  -1,  0, 0,NA,NA,NA
"31", 317,Carrolltown,15722,  12,  0, 0,NA,NA,NA
"32", 318,Cherry Tree,15724,  12, -1, 0,NA,NA,NA
"33", 320,Clymer,15728,   6,  0, 0,NA,NA,NA
"34", 321,Commodore,15729,  -1,  0, 0,NA,NA,NA
"35", 322,Coolspring,15730,   0,  0, 0,NA,NA,NA
"36", 324,Ernest,15739,   0,  0, 0,NA,NA,NA
"37", 325,Glen Campbell,15742,  -1, -1, 0,NA,NA,NA
"38", 326,Hamilton,15744,   0,  0, 0,NA,NA,NA
"39", 329,Josephine,15750,  -1, -1, 0,NA,NA,NA
"40", 330,La Jose,15753,  -1,  0, 0,NA,NA,NA
"41", 331,Mahaffey,15757,  -1,  0, 0,NA,NA,NA
"42", 332,Marchand,15758,   0,  0, 0,NA,NA,NA
"43", 333,Marion Center,15759,   7, -1, 0,NA,NA,NA
"44", 334,Marsteller,15760,   0,  0, 0,NA,NA,NA
"45", 335,Nicktown,15762,  10,  0, 0,NA,NA,NA
"46", 336,Northpoint,15763,   0,  0, 0,NA,NA,NA
"47", 337,Oliveburg,15764,  -1,  0, 0,NA,NA,NA
"48", 338,Penn Run,15765,   6, -1, 0,NA,NA,NA
"49", 339,Punxsutawney,15767,  73, -1, 0,NA,NA,NA
"50", 340,Ringgold,15770,  -1,  0, 0,NA,NA,NA
"51", 341,Rochester Mills,15771,  -1, -1, 0,NA,NA,NA
"52", 342,Rossiter,15772,  10, -1, 0,NA,NA,NA
"53", 343,Saint Benedict,15773,  -1,  0, 0,NA,NA,NA
"54", 345,Spangler,15775,   0,  0, 0,NA,NA,NA
"55", 346,Sprankle Mills,15776,  -1,  0, 0,NA,NA,NA
"56", 347,Starford,15777,  -1,  0, 0,NA,NA,NA
"57", 348,Timblin,15778,  -1,  0, 0,NA,NA,NA
"58", 349,Valier,15780,  -1,  0, 0,NA,NA,NA
"59", 350,Worthville,15784,  -1,  0, 0,NA,NA,NA
"60", 351,Du Bois,15801, 128, -1, 0,NA,NA,NA
"61", 352,Benezett,15821,  -1,  0, 0,NA,NA,NA
"62", 353,Brockport,15823,   8,  0, 0,NA,NA,NA
"63", 354,Brockway,15824,  36,  0, 0,NA,NA,NA
"64", 355,Brookville,15825,  90, -1, 0,NA,NA,NA
"65", 356,Byrnedale,15827,  -1,  0, 0,NA,NA,NA
"66", 357,Clarington,15828,  -1, -1, 0,NA,NA,NA
"67", 358,Corsica,15829,  11,  0, 0,NA,NA,NA
"68", 359,Driftwood,15832,  -1,  0, 0,NA,NA,NA
"69", 360,Emporium,15834,  58, -1, 0,NA,NA,NA
"70", 361,Falls Creek,15840,  17,  0, 0,NA,NA,NA
"71", 362,Johnsonburg,15845,  16,  0, 0,NA,NA,NA
"72", 363,Kersey,15846,  19, -1, 0,NA,NA,NA
"73", 364,Luthersburg,15848,   5,  0, 0,NA,NA,NA
"74", 365,Penfield,15849,  -1,  0, 0,NA,NA,NA
"75", 366,Reynoldsville,15851,  45, -1, 0,NA,NA,NA
"76", 367,Ridgway,15853,  51, -1, 0,NA,NA,NA
"77", 368,Rockton,15856,  -1, -1, 0,NA,NA,NA
"78", 369,Saint Marys,15857,  62, -1, 0,NA,NA,NA
"79", 370,Sigel,15860,   8,  0, 0,NA,NA,NA
"80", 371,Sinnamahoning,15861,   0,  0, 0,NA,NA,NA
"81", 372,Summerville,15864,  23, -1, 0,NA,NA,NA
"82", 373,Sykesville,15865,   7,  0, 0,NA,NA,NA
"83", 374,Troutville,15866,  -1,  0, 0,NA,NA,NA
"84", 375,Weedville,15868,  11,  0, 0,NA,NA,NA
"85", 376,Wilcox,15870,   6,  0, 0,NA,NA,NA
"86", 377,Johnstown,15901,  73, -1, 0,NA,NA,NA
"87", 378,Johnstown,15902, 156, -1, 0,NA,NA,NA
"88", 379,Johnstown,15904, 169, -1,-1,NA,NA,NA
"89", 380,Johnstown,15905, 223, -1,-1,NA,NA,NA
"90", 381,Johnstown,15906, 127, -1,-1,NA,NA,NA
"91", 382,Johnstown,15909,  54, -1, 0,NA,NA,NA
"92", 383,Armagh,15920,  14, -1, 0,NA,NA,NA
"93", 385,Cairnbrook,15924,  14, -1, 0,NA,NA,NA
"94", 386,Central City,15926,  34, -1, 0,NA,NA,NA
"95", 387,Colver,15927,  11,  0, 0,NA,NA,NA
"96", 388,Davidsville,15928,  15,  0, 0,NA,NA,NA
"97", 389,Ebensburg,15931,  95, -1, 0,NA,NA,NA
"98", 390,Elton,15934,  -1, -1, 0,NA,NA,NA
"99", 391,Hollsopple,15935,  24,  0, 0,NA,NA,NA
"100", 392,Hooversville,15936,  10,  0, 0,NA,NA,NA
"101", 393,Lilly,15938,  23,  0, 0,NA,NA,NA
"102", 394,Loretto,15940,  11,  0, 0,NA,NA,NA
"103", 395,Mineral Point,15942,  20, -1, 0,NA,NA,NA
"104", 396,Nanty Glo,15943,  46, -1, 0,NA,NA,NA
"105", 397,New Florence,15944,  34, -1, 0,NA,NA,NA
"106", 398,Parkhill,15945,  -1,  0, 0,NA,NA,NA
"107", 399,Portage,15946,  65, -1, 0,NA,NA,NA
"108", 400,Robinson,15949,  -1,  0, 0,NA,NA,NA
"109", 401,Saint Michael,15951,   7,  0, 0,NA,NA,NA
"110", 402,Salix,15952,  13,  0, 0,NA,NA,NA
"111", 403,Seanor,15953,   0,  0, 0,NA,NA,NA
"112", 404,Seward,15954,  17, -1, 0,NA,NA,NA
"113", 405,Sidman,15955,  19,  0, 0,NA,NA,NA
"114", 406,South Fork,15956,  22,  0, 0,NA,NA,NA
"115", 407,Strongstown,15957,  -1,  0, 0,NA,NA,NA
"116", 408,Summerhill,15958,  15, -1, 0,NA,NA,NA
"117", 409,Twin Rocks,15960,  -1,  0, 0,NA,NA,NA
